source,target
1659167666 ,1179956022158483457
1659167666 ,1564246045697114114
1659167666 ,1336239227877675009
1659167666 ,271943783
1659167666 ,823171525733994499
1659167666 ,976112469235191813
1659167666 ,1415933338221563907
1659167666 ,1406236553085607938
1659167666 ,45435874
1659167666 ,1357061455946915841
1659167666 ,1320315365541466112
1659167666 ,1325819871171543042
1659167666 ,1305693889987305473
1659167666 ,1227897068
1659167666 ,22195642
1659167666 ,1250845532114882562
1659167666 ,2888272685
1659167666 ,1222988678189985792
1659167666 ,1194473198944997383
1659167666 ,274056643
1659167666 ,2337192282
1659167666 ,1163705600
1659167666 ,37598116
1659167666 ,3001510998
1659167666 ,163520850
1659167666 ,1175479187982954496
1659167666 ,173975929
1659167666 ,4054035616
1659167666 ,751849197515763712
1659167666 ,3114427119
1659167666 ,1095013656222404609
1659167666 ,830530350
1659167666 ,1625325080
1659167666 ,3060846526
1659167666 ,3142842644
1659167666 ,2271963695
1659167666 ,474425110
1659167666 ,4252964712
1659167666 ,546152081
1659167666 ,2368011804
1659167666 ,2297244138
1659167666 ,348834144
1659167666 ,1147247509645004802
1659167666 ,1164120138720915458
1659167666 ,241128379
1659167666 ,2581729290
1659167666 ,2945499701
1659167666 ,1869708506
1659167666 ,1096628495558438915
1659167666 ,768009192800071681
1659167666 ,29926431
1659167666 ,428578459
1659167666 ,498454736
1659167666 ,82162703
1659167666 ,58296808
1659167666 ,1062034109059424256
1659167666 ,1090730326534561792
1659167666 ,775016584305860608
1659167666 ,101332230
1659167666 ,1083123534530994176
1659167666 ,126449442
1659167666 ,257524817
1659167666 ,149612228
1659167666 ,1084543250453725187
1659167666 ,1082303696459821056
1659167666 ,2443246536
1659167666 ,29549047
1659167666 ,480432807
1659167666 ,1078641900960313345
1659167666 ,1078490749342167040
1659167666 ,1054340293309325312
1659167666 ,522566333
1659167666 ,171337448
1659167666 ,1059868336853581826
1659167666 ,1065648765070204930
1659167666 ,1046759062803795968
1659167666 ,1070733980780126208
1659167666 ,1064841284630794241
1659167666 ,482758613
1659167666 ,1070681763813445634
1659167666 ,509420144
1659167666 ,1067540637002723329
1659167666 ,1058195295937445888
1659167666 ,702163343721820161
1659167666 ,791086530731339776
1659167666 ,21070500
1659167666 ,32156087
1659167666 ,1048347039485059084
1659167666 ,916684502621130752
1659167666 ,1053552249425813504
1659167666 ,984154007525523456
1659167666 ,1051276054978093057
1659167666 ,1395004273
1659167666 ,955250044378255360
1659167666 ,1583937800
1659167666 ,931597145609850880
1659167666 ,1032393478599258117
1659167666 ,1048031340820680705
1659167666 ,405191304
1659167666 ,1046860364862738432
1659167666 ,1045444625131917313
1659167666 ,1043912735384371201
1659167666 ,1043656043815952386
1659167666 ,2363082631
1659167666 ,571079822
1659167666 ,314339333
1659167666 ,1039851414690967553
1659167666 ,972783002
1659167666 ,94369944
1659167666 ,996799137340379136
1659167666 ,1035479628159352832
1659167666 ,1032814738080559104
1659167666 ,17666742
1659167666 ,1021842635680620544
1659167666 ,1029499982905266177
1659167666 ,851687436711108608
1659167666 ,332281472
1659167666 ,1029515259416064000
1659167666 ,1028020369347829761
1659167666 ,1028408901547393024
1659167666 ,1027595782189473793
1659167666 ,1026870466621984771
1659167666 ,23613837
1659167666 ,1022355132548374528
1659167666 ,1022986171704639494
1659167666 ,1022215236697370624
1659167666 ,985935603706540032
1659167666 ,1019819322439622656
1659167666 ,1016355114964090880
1659167666 ,1011701177703190533
1659167666 ,1012279856808321025
1659167666 ,1010704559415545856
1659167666 ,987889182004654081
